                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1695,                 4.1998,                 1.1145,                0.84751,                0.06436,                 0.1392,                 0.1079,                0.73053,                 3.5034,                0.85951,             0.00014905,             0.00014905,             0.00014905
                      2,                0.85054,                 2.5245,                0.94667,                0.82861,                0.18261,                0.28365,                0.23256,                 0.7083,                 2.3158,                0.85936,             0.00029476,             0.00029476,             0.00029476
                      3,                0.77685,                  1.987,                0.93782,                0.76071,                0.34437,                 0.3576,                0.29279,                0.64863,                 1.6383,                0.86416,             0.00043447,             0.00043447,             0.00043447
                      4,                0.73865,                  1.755,                0.92775,                0.78033,                0.38712,                0.40382,                0.32715,                0.65058,                 1.2516,                 0.8789,             0.00042797,             0.00042797,             0.00042797
                      5,                0.69433,                 1.5511,                0.92211,                0.78583,                0.42101,                0.44426,                0.36796,                0.60081,                 1.1266,                0.86415,             0.00042797,             0.00042797,             0.00042797
                      6,                0.67563,                 1.4923,                0.90899,                 0.7496,                0.44401,                0.47757,                0.39706,                0.60068,                  1.078,                0.86245,             0.00041896,             0.00041896,             0.00041896
                      7,                 0.6688,                 1.3993,                0.90932,                0.78002,                0.46088,                0.52622,                0.44524,                 0.5228,                0.86157,                0.85189,             0.00040995,             0.00040995,             0.00040995
                      8,                0.64667,                 1.3005,                0.90231,                0.67459,                0.55076,                0.53104,                0.43796,                 0.5632,                0.87883,                0.86851,             0.00040095,             0.00040095,             0.00040095
                      9,                0.63455,                  1.186,                0.90295,                   0.81,                0.51045,                0.58137,                0.48726,                0.54152,                0.79633,                0.86111,             0.00039194,             0.00039194,             0.00039194
                     10,                0.61066,                  1.158,                0.88899,                 0.7197,                0.51757,                0.57934,                0.48735,                0.53611,                0.76342,                0.84933,             0.00038293,             0.00038293,             0.00038293
                     11,                 0.6031,                 1.0954,                0.89512,                0.82525,                 0.5076,                 0.5545,                0.47455,                0.50328,                0.69645,                 0.8359,             0.00037392,             0.00037392,             0.00037392
                     12,                 0.5861,                 1.0672,                0.88006,                0.68901,                0.61983,                0.59222,                0.50052,                0.50317,                0.68021,                0.83658,             0.00036491,             0.00036491,             0.00036491
                     13,                0.56007,                 1.0237,                0.87994,                0.77375,                0.57539,                0.62293,                0.52587,                0.52333,                0.67795,                0.84778,              0.0003559,              0.0003559,              0.0003559
